//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;GPIO_118@1;;n/c;%QX34.6;GPIOs_P9_P8
;GPIO_119@1;;n/c;%QX34.7;GPIOs_P9_P8
;GPIO_120@1;;n/c;%QX35.0;GPIOs_P9_P8
;GPIO_121@1;;n/c;%QX35.1;GPIOs_P9_P8
;GPIO_122@1;;n/c;%QX35.2;GPIOs_P9_P8
;GPIO_123@1;;n/c;%QX35.3;GPIOs_P9_P8
;GPIO_124@1;;n/c;%QX35.4;GPIOs_P9_P8
;GPIO_125@1;;n/c;%QX35.5;GPIOs_P9_P8
;GPIO_126@1;;n/c;%QX35.6;GPIOs_P9_P8
;GPIO_127@1;;n/c;%QX35.7;GPIOs_P9_P8
AIN0;analog input 0;;;%IW24;GPIOs_P9_P8
AIN1;analog input 1;;;%IW25;GPIOs_P9_P8
AIN2;analog input 2;;;%IW26;GPIOs_P9_P8
AIN3;analog input 3;;;%IW27;GPIOs_P9_P8
AIN4;analog input 4;;;%IW28;GPIOs_P9_P8
AIN5;analog input 5;;;%IW29;GPIOs_P9_P8
AIN6;analog input 6;;;%IW30;GPIOs_P9_P8
